BveTs Vehicle Performance Table 2.00:shift_jis,,,,,,,
#,,,,,,,
0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
5,0,0,0,0,0,345,3795
7.5,1035,1380,1725,2415,3450,5520,14490
10,1725,2415,3795,5175,7935,14490,24150
15,2415,3450,6900,9660,16215,24150,27600
20,3450,5175,10350,18630,24150,27600,27600
25,4140,7590,17595,25185,27600,27600,27600
30,5175,12765,22770,27600,27600,27600,27600
35,7935,17595,25875,27600,27600,27600,27600
40,12765,22770,27600,27600,27600,27600,27600
45,16905,25875,27600,27600,27600,27600,27600
50,22770,27600,27600,27600,27600,27600,27600
55,27600,27600,27600,27600,27600,27600,27600
60,27600,27600,27600,27600,27600,27600,27600
