BveTs Vehicle Performance Table 2.00:shift_jis,,,,,,,
#,1N,2N,3N,4N,5N,6N,7N
0,95,140,190,220,280,280,280
5,64,100,140,170,220,280,280
10,52,72,100,120,170,220,280
15,45,61,77,96,120,170,230
20,39,53,64,74,88,120,166
25,35,44,51,58,64,78,108
30,32,38,41,50,53,62,72
35,32,34,35,40,45,50,56
40,32,32,34,35,40,43,50
45,32,32,32,33,38,40,46
50,32,32,32,32,35,38,43
55,32,32,32,32,34,35,40
60,32,32,32,32,32,34,38
65,32,32,32,32,32,32,35
70,32,32,32,32,32,32,34
75,32,32,32,32,32,32,32
80,32,32,32,32,32,32,32
