BveTs Vehicle Performance Table 2.00:shift_jis,,,,,,,,
#,SER1,SER2,SER3,SER4,PAR1,PAR2,PAR3,PAR4
0,27337.2,37532.6,48189.7,58383.2,65335.3,86185.9,107038.4,139515.1
5,16216.5,23632.2,30582.4,37532.6,43787.4,58383.2,72285.5,86185.9
10,9729.9,13902.3,19461.7,26410,30582.4,38921.5,50042.2,63944.5
15,5095.8,9266.3,13438.7,18070.9,21546,29191.6,37532.6,47262.5
20,2781.6,6486.6,9729.9,13438.7,15654.1,20330,28462,37532.6
25,927.2,4170.5,6023,9729.9,12198,15247.5,20330,27445.5
30,0,2318,3243.3,6950.2,8538.6,10165,14231,20330
35,0,927.2,1854.4,4170.5,5692.4,6099,10165,14231
40,0,0,927.2,2318,3659.4,4066,6099,10165
45,0,0,0,927.2,1626.4,2033,4066,6099
50,0,0,0,0,0,1016.5,2033,4066
55,0,0,0,0,0,0,1016.5,2033
60,0,0,0,0,0,0,0,1016.5
65,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
