BveTs Vehicle Performance Table 2.00:shift_jis,,,,,,,
#,1N,2N,3N,4N,5N,6N,7N
0,100,140,195,300,350,350,350
5,80,110,155,220,350,350,350
10,65,90,120,165,240,350,350
15,56,76,97,120,150,240,350
20,49,66,80,92,110,150,220
25,44,55,64,72,80,97,135
30,40,47,51,62,66,77,90
35,40,42,44,50,56,63,70
40,40,40,42,44,50,54,63
45,40,40,40,41,47,50,58
50,40,40,40,40,44,47,54
55,40,40,40,40,42,44,50
60,40,40,40,40,40,42,48
65,40,40,40,40,40,40,44
70,40,40,40,40,40,40,42
75,40,40,40,40,40,40,40
80,40,40,40,40,40,40,40
